stopword,sentiment_label
loved series season seasons never happened broken part character personality made fall love main character felicity becomes badass one likes see disappointing futures reall number see series become crap course good nice written moment later seasons still good enough maybe bit harrish think deserves living expectations,positive
ultimately excellent film seeing part night trilogy viewing say good dark knight film opens strangely nolan quite farcical scene introduces bane spoil please tell takes unknown prisoners plane without even looking faces really proper story starts chose words like jaded withdrawn cynical tired lethargic disconnected find hero police commissioner ultimately audience manipulated feeling act ultimately long downer lots elements put place last acts sitting six hours batman begins dark knight left feeling much started getting bored overall emotional shade film coupled lack action lack real story like watching plate spinner getting plates spinning pointy poles necessary act ultimately boring audience second act bad guy makes play gains upper hand one strongest sources praise dark knight ultimately real world story telling bane unleashes gotham takes us back comic book villainy first film criticise rewarding realism second film good guys slow wrong footed creaking mental baggage two thirds superhero film superhero anything action thin ground ringer crying redeeming pay third act restored put right however ultimately pay put first two acts satisfying shrug memory put much like childbirth need brain swimming endorphins blank pain labour get enough endorphins make experience totally rewarding add slightly facial bad guy twist groan worthy sequel shoe say nolan tried squeeze far much batman saga creeps line rather ending bang much feel convinced final part story need another installment accept hero sailed sunset,positive
movie starts bit slow drags beginning eventually picks special effects good big screen stuff expected main gripes story borrows little much original movie lines even also use boy much maybe saving sequel resolve significant issue end movie usual gripe almost comic book movies hero never gets jam clever simply uses brute force made comic book stories fun hero uses powers clever way outwit villain movies rarely happens screen writers get oh well spite still enjoyed would recommend,positive
long awaited return superman big screen lot going opinion flaws turned important enough significantly harm movie first brandon routh perfect main role totally nailed looks kevin spacey also good cast lex luthor good role hand kate bosworth disaster lois lane character strong personality remains likable person nevertheless bosworth gave absolutely dislikable presence screen except end looks looked much young immature experienced pulitzer journalist hollywood know hire young actresses case script lot potential asking whether world really needs superman smart theme work around created particular atmosphere around idea return liked also lex luthor manage represent serious threat superman plan ends pretty scary movie also starts slowly enough need wait something like half hour get action see superman boy plane crash scene memorable kind slow build makes much better movies packed bombastic movies made subsequent reboot man steel really little show except unremitting cgi action compared superman returns really scenario would worked good bad ideas superman son resulting previous relationship lois lane retrospect believe get flaws affected movie superman returns success movie enjoy seeing time time could say much man steel also injustice brandon routh opinion deserved another shot role,positive
worst movie opening promise russell crowe jor el sending son journey minimal dialogue revealed little characters even lois lane shadow former self longing looks much spunk expect character fun news room banter entire project based computer graphics explosions destruction destroy building building building gas station supermarket skyscraper bored repetitive plot terrible fighting blur superman super self waste money unless young male looking movie looks like video game disappointed made awful superman movie like anything besides violent fights explosions bored tears save money next spiderman bat man iron man movie,negative
great film loved everything everyone amazing recommend,positive
understand people like movie one worst big budget films ever seen nothing good effects editing wooden acting except gene hackman margot kidder bad direction none good laughed loud saw film crew boat wake showing one villains flying superman river worst good first deserve anywhere near,negative
wonder woman wonderful man dominated world really man dominated women rocks beginning mankind yeah love strong female characters skye may agents shield supergirl amaya legends tomorrow sara laurel arrow miss peggy carter watched devasena baahubali conclusion epitome strong women sad world hardly recognizes focus commitment sheer know women possess today also women work times harder men get deserve hope moment changes better movie gorgeous difficulty finding words literally thinking movie ended write review magical experience really gal gadot standing know people hated cast stupid needed curvaceous woman gal think perfect choice role take time look feel problems worries gone beauty gorgeous god zeus bless mean daughter chris pine amazing god superb comic timing robin wright awesome seeing house cards movie back back god strong characters perfectly played suck treat fans david thewlis seeing fargo movie man fantastic actor wrong tell guys st dceu movie done exceptionally well satisfied man steel bvs dawn justice suicide squad like believe movie fill voids watch enjoy peace,positive
batman returns one hand good story bruce wayne sympthasizing penguin catwoman even schreck concern son gives sympathetic moment two interesting biblical motif good fight sequences help maintain image michael keaton batman generally interesting elements throughout hand keaton seems think comedy movie playing almost wayne sequences laughs blown screen nicholson performance first movie time around blown screen three less powerful actors actresses overacting concert oh overact christopher walken subdued bad guy movie know trouble penguin much dickensian disgusting eats raw fish bleeds black bites noses pfeiffer goes overly humorous kyle overly aggressive catwoman comic book characters reinterpreted stripped basic elements mind different comic book counterparts ironically much two dimensional four color equivalents meanwhile keaton struggling overacting villainous counterparts everyone else gets short shrift michael gough character remain noticeable gordon chip schreck mildly memorable really picture anyone else movie day watched except snl actress jan hooks maybe memorably icy poodle lady really much going ending big penguin missle launching blowout second franchise br remains somewhat entertaining big flashy throw everything got hope sticks approach predecessor schumacher epics come,positive
idea behind batman always quite dark however seeing comic books marketed towards kids make batman goofy campy image emphasized adam west tv serial started backing dark side character tim burton batman much needed deviation towards creating new image third film batman franchise batman forever saw joel schumacher val kilmer enter fray replace tim burton michael keaton director star respectively however schumacher took franchise entire opposite direction burton reenacted old silly campy idiotic vision batman whereas burton created fascinating city schumacher creates mere dulled neon filled version world special effects try flashy merely dull even outdated schumacher tries add wit something akin slapstick comedy end making work like expected witless bad kinda funny kind film heck plot ludicrous even comic book story cast might seem good theory end totally chemistry misplayed tommy lee jones jim carrey try play mere copycats jack nicholson joker end contradict everything said characters also make every comic fan cringe end little exercise overacting buffoonery tlj makes complete joke two face carrey one favorite modern comedians way hit miss riddler val kilmer far feminine comparison keaton somewhat passable bruce wayne holds sense menace mystery batman chris donnell manages even worse actually ends clich troubled teenager nicole kidman ill suited femme fatale drew barrymore pretty much cameo even know first time watched even michael gough worse burton films nicole kidman val kilmer main couple seem completely different scenes together expressions never match good chemistry acting unfortunately despite entire idiocy batman forever lot battles two face attack wayne manor schumacher somehow got permission destroy franchise even worse sequel guess gay schumacher believer batman robin innuendos identified adam west campy version decided try turn batman back campy hero loved identified would explain batman nipples sequel,positive
